date,close_cbot,ret_cbot,year,month
2005-01-31,197.0,,2005,1
2005-02-28,214.5,8.883,2005,2
2005-03-31,213.0,-0.699,2005,3
2005-04-30,204.75,-3.873,2005,4
2005-05-31,222.0,8.425,2005,5
2005-06-30,212.25,-4.392,2005,6
2005-07-31,236.5,11.425,2005,7
2005-08-31,201.5,-14.799,2005,8
2005-09-30,205.5,1.985,2005,9
2005-10-31,196.25,-4.501,2005,10
2005-11-30,187.5,-4.459,2005,11
2005-12-31,215.75,15.067,2005,12
2006-01-31,218.75,1.39,2006,1
2006-02-28,228.0,4.229,2006,2
2006-03-31,236.0,3.509,2006,3
2006-04-30,238.25,0.953,2006,4
2006-05-31,251.25,5.456,2006,5
2006-06-30,235.5,-6.269,2006,6
2006-07-31,239.0,1.486,2006,7
2006-08-31,232.0,-2.929,2006,8
2006-09-30,262.5,13.147,2006,9
2006-10-31,320.75,22.19,2006,10
2006-11-30,377.0,17.537,2006,11
2006-12-31,390.25,3.515,2006,12
2007-01-31,404.0,3.523,2007,1
2007-02-28,425.25,5.26,2007,2
2007-03-31,374.5,-11.934,2007,3
2007-04-30,358.0,-4.406,2007,4
2007-05-31,390.25,9.008,2007,5
2007-06-30,329.5,-15.567,2007,6
2007-07-31,325.75,-1.138,2007,7
2007-08-31,324.0,-0.537,2007,8
2007-09-30,373.0,15.123,2007,9
2007-10-31,375.5,0.67,2007,10
2007-11-30,384.5,2.397,2007,11
2007-12-31,455.5,18.466,2007,12
2008-01-31,501.25,10.044,2008,1
2008-02-29,546.0,8.928,2008,2
2008-03-31,567.25,3.892,2008,3
2008-04-30,600.25,5.818,2008,4
2008-05-31,599.25,-0.167,2008,5
2008-06-30,724.75,20.943,2008,6
2008-07-31,587.5,-18.938,2008,7
2008-08-31,568.25,-3.277,2008,8
2008-09-30,487.5,-14.21,2008,9
2008-10-31,401.5,-17.641,2008,10
2008-11-30,349.5,-12.951,2008,11
2008-12-31,407.0,16.452,2008,12
2009-01-31,379.0,-6.88,2009,1
2009-02-28,350.75,-7.454,2009,2
2009-03-31,404.75,15.396,2009,3
2009-04-30,396.25,-2.1,2009,4
2009-05-31,436.25,10.095,2009,5
2009-06-30,347.75,-20.287,2009,6
2009-07-31,339.5,-2.372,2009,7
2009-08-31,326.25,-3.903,2009,8
2009-09-30,344.0,5.441,2009,9
2009-10-31,366.0,6.395,2009,10
2009-11-30,402.75,10.041,2009,11
2009-12-31,414.5,2.917,2009,12
2010-01-31,356.5,-13.993,2010,1
2010-02-28,378.0,6.031,2010,2
2010-03-31,345.0,-8.73,2010,3
2010-04-30,366.25,6.159,2010,4
2010-05-31,359.0,-1.98,2010,5
2010-06-30,354.25,-1.323,2010,6
2010-07-31,392.75,10.868,2010,7
2010-08-31,424.5,8.084,2010,8
2010-09-30,495.75,16.784,2010,9
2010-10-31,582.0,17.398,2010,10
2010-11-30,530.0,-8.935,2010,11
2010-12-31,629.0,18.679,2010,12
2011-01-31,659.5,4.849,2011,1
2011-02-28,722.5,9.553,2011,2
2011-03-31,693.25,-4.048,2011,3
2011-04-30,754.0,8.763,2011,4
2011-05-31,747.5,-0.862,2011,5
2011-06-30,629.0,-15.853,2011,6
2011-07-31,665.5,5.803,2011,7
2011-08-31,757.5,13.824,2011,8
2011-09-30,592.5,-21.782,2011,9
2011-10-31,647.0,9.198,2011,10
2011-11-30,601.25,-7.071,2011,11
2011-12-31,646.5,7.526,2011,12
2012-01-31,639.0,-1.16,2012,1
2012-02-29,656.5,2.739,2012,2
2012-03-31,644.0,-1.904,2012,3
2012-04-30,660.25,2.523,2012,4
2012-05-31,555.25,-15.903,2012,5
2012-06-30,672.5,21.117,2012,6
2012-07-31,806.5,19.926,2012,7
2012-08-31,802.75,-0.465,2012,8
2012-09-30,756.25,-5.793,2012,9
2012-10-31,755.75,-0.066,2012,10
2012-11-30,748.0,-1.025,2012,11
2012-12-31,698.25,-6.651,2012,12
2013-01-31,740.5,6.051,2013,1
2013-02-28,719.5,-2.836,2013,2
2013-03-31,695.25,-3.37,2013,3
2013-04-30,683.25,-1.726,2013,4
2013-05-31,662.0,-3.11,2013,5
2013-06-30,679.25,2.606,2013,6
2013-07-31,499.0,-26.537,2013,7
2013-08-31,495.0,-0.802,2013,8
2013-09-30,441.5,-10.808,2013,9
2013-10-31,428.25,-3.001,2013,10
2013-11-30,415.25,-3.036,2013,11
2013-12-31,422.0,1.626,2013,12
2014-01-31,434.0,2.844,2014,1
2014-02-28,457.5,5.415,2014,2
2014-03-31,502.0,9.727,2014,3
2014-04-30,514.0,2.39,2014,4
2014-05-31,465.75,-9.387,2014,5
2014-06-30,424.25,-8.91,2014,6
2014-07-31,357.0,-15.852,2014,7
2014-08-31,359.0,0.56,2014,8
2014-09-30,320.75,-10.655,2014,9
2014-10-31,376.75,17.459,2014,10
2014-11-30,375.75,-0.265,2014,11
2014-12-31,397.0,5.655,2014,12
2015-01-31,370.0,-6.801,2015,1
2015-02-28,384.5,3.919,2015,2
2015-03-31,376.25,-2.146,2015,3
2015-04-30,362.5,-3.654,2015,4
2015-05-31,351.5,-3.034,2015,5
2015-06-30,414.0,17.781,2015,6
2015-07-31,371.0,-10.386,2015,7
2015-08-31,363.75,-1.954,2015,8
2015-09-30,387.75,6.598,2015,9
2015-10-31,382.25,-1.418,2015,10
2015-11-30,365.0,-4.513,2015,11
2015-12-31,358.75,-1.712,2015,12
2016-01-31,372.0,3.693,2016,1
2016-02-29,353.5,-4.973,2016,2
2016-03-31,351.5,-0.566,2016,3
2016-04-30,390.25,11.024,2016,4
2016-05-31,404.75,3.716,2016,5
2016-06-30,358.75,-11.365,2016,6
2016-07-31,334.5,-6.76,2016,7
2016-08-31,301.5,-9.865,2016,8
2016-09-30,336.75,11.692,2016,9
2016-10-31,354.75,5.345,2016,10
2016-11-30,336.75,-5.074,2016,11
2016-12-31,352.0,4.529,2016,12
2017-01-31,359.75,2.202,2017,1
2017-02-28,366.75,1.946,2017,2
2017-03-31,364.25,-0.682,2017,3
2017-04-30,358.0,-1.716,2017,4
2017-05-31,372.0,3.911,2017,5
2017-06-30,370.5,-0.403,2017,6
2017-07-31,370.75,0.067,2017,7
2017-08-31,342.25,-7.687,2017,8
2017-09-30,355.25,3.798,2017,9
2017-10-31,345.75,-2.674,2017,10
2017-11-30,341.75,-1.157,2017,11
2017-12-31,350.75,2.634,2017,12
2018-01-31,361.5,3.065,2018,1
2018-02-28,374.5,3.596,2018,2
2018-03-31,387.75,3.538,2018,3
2018-04-30,392.5,1.225,2018,4
2018-05-31,394.0,0.382,2018,5
2018-06-30,350.25,-11.104,2018,6
2018-07-31,372.25,6.281,2018,7
2018-08-31,351.0,-5.709,2018,8
2018-09-30,356.25,1.496,2018,9
2018-10-31,363.25,1.965,2018,10
2018-11-30,366.5,0.895,2018,11
2018-12-31,375.0,2.319,2018,12
2019-01-31,376.5,0.4,2019,1
2019-02-28,362.0,-3.851,2019,2
2019-03-31,356.5,-1.519,2019,3
2019-04-30,353.25,-0.912,2019,4
2019-05-31,427.0,20.878,2019,5
2019-06-30,420.25,-1.581,2019,6
2019-07-31,400.25,-4.759,2019,7
2019-08-31,358.0,-10.556,2019,8
2019-09-30,388.0,8.38,2019,9
2019-10-31,390.0,0.515,2019,10
2019-11-30,371.25,-4.808,2019,11
2019-12-31,387.75,4.444,2019,12
2020-01-31,381.25,-1.676,2020,1
2020-02-29,366.5,-3.869,2020,2
2020-03-31,340.75,-7.026,2020,3
2020-04-30,311.5,-8.584,2020,4
2020-05-31,325.75,4.575,2020,5
2020-06-30,338.5,3.914,2020,6
2020-07-31,316.0,-6.647,2020,7
2020-08-31,348.5,10.285,2020,8
2020-09-30,379.0,8.752,2020,9
2020-10-31,398.5,5.145,2020,10
2020-11-30,419.75,5.332,2020,11
2020-12-31,484.0,15.307,2020,12
2021-01-31,547.0,13.017,2021,1
2021-02-28,555.5,1.554,2021,2
2021-03-31,564.25,1.575,2021,3
2021-04-30,740.0,31.148,2021,4
2021-05-31,656.75,-11.25,2021,5
2021-06-30,720.0,9.631,2021,6
2021-07-31,547.0,-24.028,2021,7
2021-08-31,534.0,-2.377,2021,8
2021-09-30,536.75,0.515,2021,9
2021-10-31,568.25,5.869,2021,10
2021-11-30,567.0,-0.22,2021,11
2021-12-31,593.25,4.63,2021,12
2022-01-31,626.0,5.52,2022,1
2022-02-28,697.5,11.422,2022,2
2022-03-31,748.75,7.348,2022,3
2022-04-30,818.25,9.282,2022,4
2022-05-31,753.5,-7.913,2022,5
2022-06-30,743.75,-1.294,2022,6
2022-07-31,616.25,-17.143,2022,7
2022-08-31,673.75,9.331,2022,8
2022-09-30,677.5,0.557,2022,9
2022-10-31,691.5,2.066,2022,10
2022-11-30,662.0,-4.266,2022,11
2022-12-31,678.5,2.492,2022,12
2023-01-31,679.75,0.184,2023,1
2023-02-28,629.5,-7.392,2023,2
2023-03-31,660.5,4.925,2023,3
2023-04-30,636.0,-3.709,2023,4
2023-05-31,594.0,-6.604,2023,5
2023-06-30,554.5,-6.65,2023,6
2023-07-31,504.0,-9.107,2023,7
2023-08-31,461.0,-8.532,2023,8
2023-09-30,476.75,3.416,2023,9
2023-10-31,478.75,0.42,2023,10
2023-11-30,461.75,-3.551,2023,11
2023-12-31,471.25,2.057,2023,12
2024-01-31,448.25,-4.881,2024,1
2024-02-29,415.75,-7.25,2024,2
2024-03-31,442.0,6.314,2024,3
2024-04-30,439.5,-0.566,2024,4
2024-05-31,446.25,1.536,2024,5
2024-06-30,397.25,-10.98,2024,6
2024-07-31,382.75,-3.65,2024,7
2024-08-31,378.0,-1.241,2024,8
2024-09-30,424.75,12.368,2024,9
2024-10-31,410.75,-3.296,2024,10
2024-11-30,423.0,2.982,2024,11
2024-12-31,458.5,8.392,2024,12
2025-01-31,482.0,5.125,2025,1
2025-02-28,453.5,-5.913,2025,2
2025-03-31,457.25,0.827,2025,3
2025-04-30,467.25,2.187,2025,4
2025-05-31,444.0,-4.976,2025,5
2025-06-30,420.5,-5.293,2025,6
2025-07-31,394.0,-6.302,2025,7
2025-08-31,398.0,1.015,2025,8
2025-09-30,415.5,4.397,2025,9
2025-10-31,431.5,3.851,2025,10
2025-11-30,435.5,0.927,2025,11
2025-12-31,440.25,1.091,2025,12
2026-01-31,428.25,-2.726,2026,1
2026-02-28,438.75,2.452,2026,2
2026-03-31,457.75,4.33,2026,3
2026-04-30,464.75,1.529,2026,4
2026-05-31,478.75,3.012,2026,5
