date,year,month,c_open,c_high,c_low,c_close,c_ret%,cbot_close,cbot_ret%,diff%
2005-01-31,2005,1,1150,,,1148,,197.0,,
2005-02-28,2005,2,1151,,,1185,3.22,214.5,8.88,-5.66
2005-03-31,2005,3,1185,,,1327,11.98,213.0,-0.7,12.68
2005-04-30,2005,4,1323,,,1314,-0.98,204.75,-3.87,2.89
2005-05-31,2005,5,1315,,,1283,-2.36,222.0,8.43,-10.78
2005-06-30,2005,6,1280,,,1288,0.39,212.25,-4.39,4.78
2005-07-31,2005,7,1292,,,1256,-2.48,236.5,11.42,-13.91
2005-08-31,2005,8,1252,,,1236,-1.59,201.5,-14.8,13.21
2005-09-30,2005,9,1232,,,1265,2.35,205.5,1.98,0.36
2005-10-31,2005,10,1265,,,1263,-0.16,196.25,-4.5,4.34
2005-11-30,2005,11,1226,,,1283,1.58,187.5,-4.46,6.04
2005-12-31,2005,12,1285,,,1368,6.63,215.75,15.07,-8.44
2006-01-31,2006,1,1366,,,1446,5.7,218.75,1.39,4.31
2006-02-28,2006,2,1480,,,1467,1.45,228.0,4.23,-2.78
2006-03-31,2006,3,1471,,,1437,-2.04,236.0,3.51,-5.55
2006-04-30,2006,4,1449,,,1447,0.7,238.25,0.95,-0.26
2006-05-31,2006,5,1450,,,1526,5.46,251.25,5.46,0.0
2006-06-30,2006,6,1520,,,1476,-3.28,235.5,-6.27,2.99
2006-07-31,2006,7,1479,,,1428,-3.25,239.0,1.49,-4.74
2006-08-31,2006,8,1423,,,1400,-1.96,232.0,-2.93,0.97
2006-09-30,2006,9,1400,,,1408,0.57,262.5,13.15,-12.58
2006-10-31,2006,10,1411,,,1471,4.47,320.75,22.19,-17.72
2006-11-30,2006,11,1468,,,1697,15.36,377.0,17.54,-2.17
2006-12-31,2006,12,1704,,,1728,1.83,390.25,3.52,-1.69
2007-01-31,2007,1,1678,,,1715,-0.75,404.0,3.52,-4.28
2007-02-28,2007,2,1711,,,1708,-0.41,425.25,5.26,-5.67
2007-03-31,2007,3,1717,,,1690,-1.05,374.5,-11.93,10.88
2007-04-30,2007,4,1630,,,1658,-1.89,358.0,-4.41,2.51
2007-05-31,2007,5,1660,,,1711,3.2,390.25,9.01,-5.81
2007-06-30,2007,6,1717,,,1569,-8.3,329.5,-15.57,7.27
2007-07-31,2007,7,1575,,,1526,-2.74,325.75,-1.14,-1.6
2007-08-31,2007,8,1530,,,1632,6.95,324.0,-0.54,7.48
2007-09-30,2007,9,1632,,,1666,2.08,373.0,15.12,-13.04
2007-10-31,2007,10,1640,,,1706,2.4,375.5,0.67,1.73
2007-11-30,2007,11,1722,,,1757,2.99,384.5,2.4,0.59
2007-12-31,2007,12,1766,,,1694,-3.59,455.5,18.47,-22.05
2008-01-31,2008,1,1700,,,1744,2.95,501.25,10.04,-7.09
2008-02-29,2008,2,1750,,,1811,3.84,546.0,8.93,-5.09
2008-03-31,2008,3,1818,,,1948,7.56,567.25,3.89,3.67
2008-04-30,2008,4,1905,,,1968,1.03,600.25,5.82,-4.79
2008-05-31,2008,5,1961,,,1876,-4.67,599.25,-0.17,-4.51
2008-06-30,2008,6,1885,,,1941,3.46,724.75,20.94,-17.48
2008-07-31,2008,7,1930,,,1832,-5.62,587.5,-18.94,13.32
2008-08-31,2008,8,1827,,,1850,0.98,568.25,-3.28,4.26
2008-09-30,2008,9,1850,,,1768,-4.43,487.5,-14.21,9.78
2008-10-31,2008,10,1675,,,1655,-6.39,401.5,-17.64,11.25
2008-11-30,2008,11,1653,,,1557,-5.92,349.5,-12.95,7.03
2008-12-31,2008,12,1550,,,1548,-0.58,407.0,16.45,-17.03
2009-01-31,2009,1,1551,,,1579,2.0,379.0,-6.88,8.88
2009-02-28,2009,2,1582,,,1666,5.51,350.75,-7.45,12.96
2009-03-31,2009,3,1664,,,1695,1.74,404.75,15.4,-13.66
2009-04-30,2009,4,1699,,,1670,-1.47,396.25,-2.1,0.63
2009-05-31,2009,5,1675,,,1662,-0.48,436.25,10.1,-10.57
2009-06-30,2009,6,1660,,,1627,-2.11,347.75,-20.29,18.18
2009-07-31,2009,7,1620,,,1666,2.4,339.5,-2.37,4.77
2009-08-31,2009,8,1678,,,1751,5.1,326.25,-3.9,9.01
2009-09-30,2009,9,1750,,,1722,-1.66,344.0,5.44,-7.1
2009-10-31,2009,10,1730,,,1736,0.81,366.0,6.4,-5.58
2009-11-30,2009,11,1730,,,1784,2.76,402.75,10.04,-7.28
2009-12-31,2009,12,1785,,,1873,4.99,414.5,2.92,2.07
2010-01-31,2010,1,1878,,,1854,-1.01,356.5,-13.99,12.98
2010-02-28,2010,2,1851,,,1866,0.65,378.0,6.03,-5.38
2010-03-31,2010,3,1871,,,1928,3.32,345.0,-8.73,12.05
2010-04-30,2010,4,1925,,,1921,-0.36,366.25,6.16,-6.52
2010-05-31,2010,5,1919,,,1943,1.15,359.0,-1.98,3.13
2010-06-30,2010,6,1944,,,1858,-4.37,354.25,-1.32,-3.05
2010-07-31,2010,7,1868,,,1930,3.88,392.75,10.87,-6.99
2010-08-31,2010,8,1939,,,2016,4.46,424.5,8.08,-3.63
2010-09-30,2010,9,2020,,,2060,2.18,495.75,16.78,-14.6
2010-10-31,2010,10,2060,,,2190,6.31,582.0,17.4,-11.09
2010-11-30,2010,11,2205,,,2279,4.06,530.0,-8.94,13.0
2010-12-31,2010,12,2267,,,2330,2.24,629.0,18.68,-16.44
2011-01-31,2011,1,2331,,,2361,1.33,659.5,4.85,-3.52
2011-02-28,2011,2,2364,,,2429,2.88,722.5,9.55,-6.67
2011-03-31,2011,3,2439,,,2377,-2.14,693.25,-4.05,1.91
2011-04-30,2011,4,2408,,,2349,-1.18,754.0,8.76,-9.94
2011-05-31,2011,5,2356,,,2416,2.85,747.5,-0.86,3.71
2011-06-30,2011,6,2418,,,2307,-4.51,629.0,-15.85,11.34
2011-07-31,2011,7,2269,,,2384,3.34,665.5,5.8,-2.47
2011-08-31,2011,8,2389,,,2396,0.5,757.5,13.82,-13.32
2011-09-30,2011,9,2398,,,2285,-4.63,592.5,-21.78,17.15
2011-10-31,2011,10,2275,,,2242,-1.88,647.0,9.2,-11.08
2011-11-30,2011,11,2243,,,2178,-2.85,601.25,-7.07,4.22
2011-12-31,2011,12,2190,,,2273,4.36,646.5,7.53,-3.16
2012-01-31,2012,1,2282,,,2337,2.82,639.0,-1.16,3.98
2012-02-29,2012,2,2340,,,2421,3.59,656.5,2.74,0.86
2012-03-31,2012,3,2414,,,2432,0.45,644.0,-1.9,2.36
2012-04-30,2012,4,2450,,,2430,-0.08,660.25,2.52,-2.61
2012-05-31,2012,5,2435,,,2368,-2.55,555.25,-15.9,13.35
2012-06-30,2012,6,2365,,,2336,-1.35,672.5,21.12,-22.47
2012-07-31,2012,7,2348,,,2398,2.65,806.5,19.93,-17.27
2012-08-31,2012,8,2395,,,2385,-0.54,802.75,-0.46,-0.08
2012-09-30,2012,9,2390,,,2341,-1.84,756.25,-5.79,3.95
2012-10-31,2012,10,2340,,,2420,3.37,755.75,-0.07,3.44
2012-11-30,2012,11,2422,,,2438,0.74,748.0,-1.02,1.77
2012-12-31,2012,12,2438,,,2433,-0.21,698.25,-6.65,6.45
2013-01-31,2013,1,2433,,,2424,-0.37,740.5,6.05,-6.42
2013-02-28,2013,2,2426,,,2441,0.7,719.5,-2.84,3.54
2013-03-31,2013,3,2439,,,2468,1.11,695.25,-3.37,4.48
2013-04-30,2013,4,2460,,,2391,-3.12,683.25,-1.73,-1.39
2013-05-31,2013,5,2409,,,2447,2.34,662.0,-3.11,5.45
2013-06-30,2013,6,2450,,,2418,-1.19,679.25,2.61,-3.79
2013-07-31,2013,7,2409,,,2338,-3.31,499.0,-26.54,23.23
2013-08-31,2013,8,2338,,,2320,-0.77,495.0,-0.8,0.03
2013-09-30,2013,9,2321,,,2318,-0.09,441.5,-10.81,10.72
2013-10-31,2013,10,2318,,,2323,0.22,428.25,-3.0,3.22
2013-11-30,2013,11,2320,,,2361,1.64,415.25,-3.04,4.67
2013-12-31,2013,12,2361,,,2345,-0.68,422.0,1.63,-2.3
2014-01-31,2014,1,2344,,,2361,0.68,434.0,2.84,-2.16
2014-02-28,2014,2,2366,,,2341,-0.85,457.5,5.42,-6.26
2014-03-31,2014,3,2342,,,2354,0.56,502.0,9.73,-9.17
2014-04-30,2014,4,2360,,,2372,0.76,514.0,2.39,-1.63
2014-05-31,2014,5,2374,,,2387,0.63,465.75,-9.39,10.02
2014-06-30,2014,6,2389,,,2398,0.46,424.25,-8.91,9.37
2014-07-31,2014,7,2388,,,2367,-1.29,357.0,-15.85,14.56
2014-08-31,2014,8,2367,,,2374,0.3,359.0,0.56,-0.26
2014-09-30,2014,9,2375,,,2358,-0.67,320.75,-10.66,9.98
2014-10-31,2014,10,2392,,,2380,0.93,376.75,17.46,-16.53
2014-11-30,2014,11,2397,,,2412,1.34,375.75,-0.26,1.61
2014-12-31,2014,12,2407,,,2380,-1.33,397.0,5.66,-6.98
2015-01-31,2015,1,2377,,,2474,3.95,370.0,-6.8,10.75
2015-02-28,2015,2,2471,,,2536,2.51,384.5,3.92,-1.41
2015-03-31,2015,3,2536,,,2524,-0.47,376.25,-2.15,1.67
2015-04-30,2015,4,2520,,,2500,-0.95,362.5,-3.65,2.7
2015-05-31,2015,5,2491,,,2470,-1.2,351.5,-3.03,1.83
2015-06-30,2015,6,2473,,,2317,-6.19,414.0,17.78,-23.98
2015-07-31,2015,7,2341,,,2015,-13.03,371.0,-10.39,-2.65
2015-08-31,2015,8,2011,,,1938,-3.82,363.75,-1.95,-1.87
2015-09-30,2015,9,1946,,,1799,-7.17,387.75,6.6,-13.77
2015-10-31,2015,10,1801,,,1810,0.61,382.25,-1.42,2.03
2015-11-30,2015,11,1814,,,1893,4.59,365.0,-4.51,9.1
2015-12-31,2015,12,1898,,,1896,0.16,358.75,-1.71,1.87
2016-01-31,2016,1,1895,,,1933,1.95,372.0,3.69,-1.74
2016-02-29,2016,2,1935,,,1551,-19.76,353.5,-4.97,-14.79
2016-03-31,2016,3,1560,,,1430,-7.8,351.5,-0.57,-7.24
2016-04-30,2016,4,1415,,,1514,5.87,390.25,11.02,-5.15
2016-05-31,2016,5,1525,,,1615,6.67,404.75,3.72,2.96
2016-06-30,2016,6,1608,,,1581,-2.11,358.75,-11.36,9.26
2016-07-31,2016,7,1580,,,1446,-8.54,334.5,-6.76,-1.78
2016-08-31,2016,8,1450,,,1450,0.28,301.5,-9.86,10.14
2016-09-30,2016,9,1450,,,1394,-3.86,336.75,11.69,-15.55
2016-10-31,2016,10,1400,,,1517,8.82,354.75,5.34,3.48
2016-11-30,2016,11,1515,,,1544,1.78,336.75,-5.07,6.85
2016-12-31,2016,12,1544,,,1519,-1.62,352.0,4.53,-6.15
2017-01-31,2017,1,1516,,,1560,2.7,359.75,2.2,0.5
2017-02-28,2017,2,1558,,,1603,2.76,366.75,1.95,0.81
2017-03-31,2017,3,1608,,,1672,4.3,364.25,-0.68,4.99
2017-04-30,2017,4,1675,,,1622,-2.99,358.0,-1.72,-1.27
2017-05-31,2017,5,1631,,,1608,-0.86,372.0,3.91,-4.77
2017-06-30,2017,6,1612,,,1687,4.91,370.5,-0.4,5.32
2017-07-31,2017,7,1704,,,1645,-2.49,370.75,0.07,-2.56
2017-08-31,2017,8,1648,,,1687,2.55,342.25,-7.69,10.24
2017-09-30,2017,9,1695,,,1693,0.36,355.25,3.8,-3.44
2017-10-31,2017,10,1659,,,1657,-2.13,345.75,-2.67,0.55
2017-11-30,2017,11,1656,,,1715,3.5,341.75,-1.16,4.66
2017-12-31,2017,12,1716,,,1816,5.89,350.75,2.63,3.26
2018-01-31,2018,1,1818,,,1788,-1.54,361.5,3.06,-4.61
2018-02-28,2018,2,1790,,,1830,2.35,374.5,3.6,-1.25
2018-03-31,2018,3,1836,,,1744,-4.7,387.75,3.54,-8.24
2018-04-30,2018,4,1746,,,1731,-0.75,392.5,1.23,-1.97
2018-05-31,2018,5,1732,,,1777,2.66,394.0,0.38,2.28
2018-06-30,2018,6,1778,,,1787,0.56,350.25,-11.1,11.67
2018-07-31,2018,7,1789,,,1854,3.75,372.25,6.28,-2.53
2018-08-31,2018,8,1855,,,1904,2.7,351.0,-5.71,8.41
2018-09-30,2018,9,1904,,,1847,-2.99,356.25,1.5,-4.49
2018-10-31,2018,10,1847,,,1891,2.38,363.25,1.96,0.42
2018-11-30,2018,11,1892,,,1953,3.28,366.5,0.9,2.38
2018-12-31,2018,12,1904,,,1869,-4.3,375.0,2.32,-6.62
2019-01-31,2019,1,1865,,,1863,-0.32,376.5,0.4,-0.72
2019-02-28,2019,2,1866,,,1821,-2.25,362.0,-3.85,1.6
2019-03-31,2019,3,1825,,,1844,1.26,356.5,-1.52,2.78
2019-04-30,2019,4,1845,,,1916,3.9,353.25,-0.91,4.82
2019-05-31,2019,5,1932,,,1971,2.87,427.0,20.88,-18.01
2019-06-30,2019,6,1968,,,1948,-1.17,420.25,-1.58,0.41
2019-07-31,2019,7,1948,,,1930,-0.92,400.25,-4.76,3.83
2019-08-31,2019,8,1930,,,1871,-3.06,358.0,-10.56,7.5
2019-09-30,2019,9,1873,,,1823,-2.57,388.0,8.38,-10.95
2019-10-31,2019,10,1823,,,1873,2.74,390.0,0.52,2.23
2019-11-30,2019,11,1873,,,1830,-2.3,371.25,-4.81,2.51
2019-12-31,2019,12,1829,,,1910,4.37,387.75,4.44,-0.07
2020-01-31,2020,1,1911,,,1912,0.1,381.25,-1.68,1.78
2020-02-29,2020,2,1920,,,1922,0.52,366.5,-3.87,4.39
2020-03-31,2020,3,1927,,,2048,6.56,340.75,-7.03,13.58
2020-04-30,2020,4,2048,,,2074,1.27,311.5,-8.58,9.85
2020-05-31,2020,5,2090,,,2078,0.19,325.75,4.58,-4.38
2020-06-30,2020,6,2078,,,2090,0.58,338.5,3.91,-3.34
2020-07-31,2020,7,2090,,,2323,11.15,316.0,-6.65,17.8
2020-08-31,2020,8,2317,,,2262,-2.63,348.5,10.28,-12.91
2020-09-30,2020,9,2265,,,2468,9.11,379.0,8.75,0.35
2020-10-31,2020,10,2499,,,2621,6.2,398.5,5.14,1.05
2020-11-30,2020,11,2624,,,2601,-0.76,419.75,5.33,-6.1
2020-12-31,2020,12,2681,,,2742,5.42,484.0,15.31,-9.89
2021-01-31,2021,1,2755,,,2714,-1.02,547.0,13.02,-14.04
2021-02-28,2021,2,2714,,,2777,2.32,555.5,1.55,0.77
2021-03-31,2021,3,2783,,,2631,-5.26,564.25,1.58,-6.83
2021-04-30,2021,4,2633,,,2733,3.88,740.0,31.15,-27.27
2021-05-31,2021,5,2759,,,2666,-2.45,656.75,-11.25,8.8
2021-06-30,2021,6,2663,,,2613,-1.99,720.0,9.63,-11.62
2021-07-31,2021,7,2613,,,2573,-1.53,547.0,-24.03,22.5
2021-08-31,2021,8,2572,,,2487,-3.34,534.0,-2.38,-0.97
2021-09-30,2021,9,2486,,,2520,1.33,536.75,0.52,0.81
2021-10-31,2021,10,2510,,,2627,4.25,568.25,5.87,-1.62
2021-11-30,2021,11,2627,,,2645,0.69,567.0,-0.22,0.91
2021-12-31,2021,12,2645,,,2672,1.02,593.25,4.63,-3.61
2022-01-31,2022,1,2675,,,2763,3.41,626.0,5.52,-2.11
2022-02-28,2022,2,2785,,,2856,3.37,697.5,11.42,-8.06
2022-03-31,2022,3,2863,,,2840,-0.56,748.75,7.35,-7.91
2022-04-30,2022,4,2923,,,3044,7.18,818.25,9.28,-2.1
2022-05-31,2022,5,3035,,,2935,-3.58,753.5,-7.91,4.33
2022-06-30,2022,6,2931,,,2780,-5.28,743.75,-1.29,-3.99
2022-07-31,2022,7,2770,,,2670,-3.96,616.25,-17.14,13.19
2022-08-31,2022,8,2681,,,2797,4.76,673.75,9.33,-4.57
2022-09-30,2022,9,2785,,,2773,-0.86,677.5,0.56,-1.42
2022-10-31,2022,10,2777,,,2885,4.04,691.5,2.07,1.97
2022-11-30,2022,11,2885,,,2908,0.8,662.0,-4.27,5.06
2022-12-31,2022,12,2911,,,2824,-2.89,678.5,2.49,-5.38
2023-01-31,2023,1,2829,,,2842,0.64,679.75,0.18,0.45
2023-02-28,2023,2,2842,,,2837,-0.18,629.5,-7.39,7.22
2023-03-31,2023,3,2837,,,2724,-3.98,660.5,4.92,-8.91
2023-04-30,2023,4,2718,,,2644,-2.94,636.0,-3.71,0.77
2023-05-31,2023,5,2641,,,2633,-0.42,594.0,-6.6,6.19
2023-06-30,2023,6,2625,,,2728,3.61,554.5,-6.65,10.26
2023-07-31,2023,7,2735,,,2715,-0.48,504.0,-9.11,8.63
2023-08-31,2023,8,2716,,,2733,0.66,461.0,-8.53,9.19
2023-09-30,2023,9,2739,,,2628,-3.84,476.75,3.42,-7.26
2023-10-31,2023,10,2600,,,2539,-3.39,478.75,0.42,-3.81
2023-11-30,2023,11,2539,,,2501,-1.5,461.75,-3.55,2.05
2023-12-31,2023,12,2501,,,2413,-3.52,471.25,2.06,-5.58
2024-01-31,2024,1,2420,,,2390,-0.95,448.25,-4.88,3.93
2024-02-29,2024,2,2389,,,2462,3.01,415.75,-7.25,10.26
2024-03-31,2024,3,2462,,,2415,-1.91,442.0,6.31,-8.22
2024-04-30,2024,4,2410,,,2388,-1.12,439.5,-0.57,-0.55
2024-05-31,2024,5,2395,,,2434,1.93,446.25,1.54,0.39
2024-06-30,2024,6,2436,,,2509,3.08,397.25,-10.98,14.06
2024-07-31,2024,7,2506,,,2351,-6.3,382.75,-3.65,-2.65
2024-08-31,2024,8,2347,,,2338,-0.55,378.0,-1.24,0.69
2024-09-30,2024,9,2341,,,2225,-4.83,424.75,12.37,-17.2
2024-10-31,2024,10,2220,,,2248,1.03,410.75,-3.3,4.33
2024-11-30,2024,11,2250,,,2163,-3.78,423.0,2.98,-6.76
2024-12-31,2024,12,2160,,,2229,3.05,458.5,8.39,-5.34
2025-01-31,2025,1,2231,,,2283,2.42,482.0,5.12,-2.7
2025-02-28,2025,2,2295,,,2292,0.39,453.5,-5.91,6.31
2025-03-31,2025,3,2292,,,2251,-1.79,457.25,0.83,-2.62
2025-04-30,2025,4,2251,,,2377,5.6,467.25,2.19,3.41
2025-05-31,2025,5,2382,,,2336,-1.72,444.0,-4.98,3.25
2025-06-30,2025,6,2340,,,2378,1.8,420.5,-5.29,7.09
2025-07-31,2025,7,2379,,,2288,-3.78,394.0,-6.3,2.52
2025-08-31,2025,8,2287,,,2191,-4.24,398.0,1.01,-5.25
2025-09-30,2025,9,2192,,,2143,-2.19,415.5,4.4,-6.59
2025-10-31,2025,10,2120,,,2130,-0.61,431.5,3.85,-4.46
2025-11-30,2025,11,2130,,,2244,5.35,435.5,0.93,4.43
2025-12-31,2025,12,2244,,,2226,-0.8,440.25,1.09,-1.89
2026-01-31,2026,1,2220,,,2271,2.02,428.25,-2.73,4.75
2026-02-28,2026,2,2267,,,2360,3.92,438.75,2.45,1.47
2026-03-31,2026,3,2358,,,2351,-0.38,457.75,4.33,-4.71
2026-04-30,2026,4,2350,,,2427,3.23,464.75,1.53,1.7
2026-05-31,2026,5,2426,,,2353,-3.05,478.75,3.01,-6.06
